time,flux,cumulative_flux,normalised_flux,yCO2_bl,pressure
323841.30000019073,0.0044151984547506976,1164.1605319752077,0.9803639281110326,0.0005860393999999999,198.701
323851.30000019073,0.004417420973482631,1164.2047061849426,0.9808574228466983,0.0005863343999999999,198.923
323861.30000019073,0.0044151984547506976,1164.24885816949,0.9803639281110326,0.0005860393999999999,199.145
323871.30100011826,0.004406315913784763,1164.2929257346243,0.9783916220318798,0.0005848603999999999,198.701
323881.30000019073,0.004412975936018764,1164.3370510813284,0.9798704333753668,0.0005857443999999999,198.701
323891.30000019073,0.0044151984547506976,1164.3812030658758,0.9803639281110326,0.0005860393999999999,198.701
323901.30000019073,0.004412975936018764,1164.425332825236,0.9798704333753668,0.0005857443999999999,198.701
323911.30000019073,0.004408530898554894,1164.4694181342215,0.9788834439040347,0.0005851543999999999,198.701
323921.30100011826,0.004417420973482631,1164.5135967610572,0.9808574228466983,0.0005863343999999999,199.145
323931.30000019073,0.004410753417286829,1164.5576998847964,0.9793769386397009,0.0005854494,198.923
323941.30000019073,0.004408530898554894,1164.601785193782,0.9788834439040347,0.0005851543999999999,198.923
323951.30000019073,0.004408530898554894,1164.6458705027676,0.9788834439040347,0.0005851543999999999,198.923
323961.30000019073,0.004417420973482631,1164.6900447125024,0.9808574228466983,0.0005863343999999999,198.701
323971.30000019073,0.004410753417286829,1164.7341522466752,0.9793769386397009,0.0005854494,198.701
323981.30000019073,0.0044151984547506976,1164.7783042312226,0.9803639281110326,0.0005860393999999999,198.923
323991.30000019073,0.0044151984547506976,1164.82245621577,0.9803639281110326,0.0005860393999999999,198.701
324001.30000019073,0.0044218660109465,1164.8666748758794,0.9818444123180299,0.0005869243999999999,198.923
324011.30000019073,0.004410753417286829,1164.9107824100522,0.9793769386397009,0.0005854494,198.923
324021.30000019073,0.004404093395052829,1164.9548233440028,0.9778981272962141,0.0005845653999999999,198.923
324031.30000019073,0.004410753417286829,1164.9989308781755,0.9793769386397009,0.0005854494,198.923
324041.30000019073,0.004412975936018764,1165.0430606375357,0.9798704333753668,0.0005857443999999999,198.701
324051.30000019073,0.004417420973482631,1165.0872348472706,0.9808574228466983,0.0005863343999999999,199.145
324061.30000019073,0.004406315913784763,1165.1312980064083,0.9783916220318798,0.0005848603999999999,198.701
324071.30000019073,0.0044151984547506976,1165.1754499909557,0.9803639281110326,0.0005860393999999999,198.701
324081.30000019073,0.004417420973482631,1165.2196242006905,0.9808574228466983,0.0005863343999999999,198.923
324091.30000019073,0.004417420973482631,1165.2637984104254,0.9808574228466983,0.0005863343999999999,198.923
324101.30000019073,0.004412975936018764,1165.3079281697856,0.9798704333753668,0.0005857443999999999,198.923
324111.30000019073,0.0044218660109465,1165.352146829895,0.9818444123180299,0.0005869243999999999,198.923
324121.30000019073,0.004419643492214565,1165.3963432648172,0.981350917582364,0.0005866293999999999,199.145
324131.30000019073,0.004417420973482631,1165.440517474552,0.9808574228466983,0.0005863343999999999,198.923
324141.30100011826,0.004417420973482631,1165.4846961013877,0.9808574228466983,0.0005863343999999999,198.701
324151.30000019073,0.004412975936018764,1165.5288214480918,0.9798704333753668,0.0005857443999999999,199.366
324161.30100011826,0.0044151984547506976,1165.5729778475177,0.9803639281110326,0.0005860393999999999,198.701
324171.30000019073,0.004417420973482631,1165.6171476401516,0.9808574228466983,0.0005863343999999999,198.923
324181.30000019073,0.0044151984547506976,1165.661299624699,0.9803639281110326,0.0005860393999999999,198.479
